Sweep,Value,Final Reward,Final Secrecy Rate,Final BER
beta_energy,0.5,9.580622673034668,2.0632596611976624,0.08876625820994377
beta_energy,1.0,8.872989654541016,2.059365451335907,0.09125968813896179
beta_energy,1.5,8.217034339904785,2.075045168399811,0.09163276292383671
beta_energy,2.0,7.709163188934326,2.0369150042533875,0.09782344102859497
gamma_ber,0.25,9.01187801361084,2.0787952542304993,0.09272545762360096
gamma_ber,0.5,8.872989654541016,2.059365451335907,0.09125968813896179
gamma_ber,0.75,8.818041801452637,2.026998817920685,0.09699058718979359
gamma_ber,1.0,9.03785228729248,2.073350429534912,0.08990030363202095
