Method,Avg Reward,Std,Secrecy Rate,BER,Energy,vs Static (%),vs TBHP (%)
DQN,12.337181348904142,5.160020283130527,2.7453614892330362,0.06341219452208179,1.35792,80.87039637208564,48.223755414368185
DDPG,13.98037533003127,4.674457570846996,3.179232446133309,0.029669732639614303,1.9009520343154669,104.96059479565736,67.96573503425792
PPO,8.416530813608036,3.7832222838433673,1.906525140311487,0.058563991273330736,1.0868128923127347,23.391333991404547,1.1195158336991915
Q-Learning,10.769915686648575,4.340605984652711,2.379567925336786,0.07520788007070868,1.0903199999999997,57.893352140041245,29.394008519860417
Static Random,6.8210064202680005,3.126191074711911,1.5788248233264357,0.07800298595523751,1.034116203386559,0.0,-18.049742585048
TBHP,8.323349596975754,3.746909691033945,1.9127315871800767,0.04773667784925396,1.2164400000000002,22.025242085151508,0.0
