Scenario,Method,Avg Reward,Avg Secrecy Rate,vs Static (%),vs TBHP (%)
1 jammer / 1 eve (baseline),DQN,10.824874215265126,2.4796220082346774,77.80743648618751,41.161957409933216
1 jammer / 1 eve (baseline),DDPG,13.037272528030154,3.0105857771684854,114.14789316552468,70.0127754600805
1 jammer / 1 eve (baseline),Static Random,6.087976087606452,1.4316185167843394,0.0,-20.609643668700553
1 jammer / 1 eve (baseline),TBHP,7.66840756099023,1.792443445878373,25.959883065262492,0.0
3 jammers / 1 eve,DQN,4.224315503522976,1.1222674457818667,211.7661531068282,67.46112821308594
3 jammers / 1 eve,DDPG,5.338743629039938,1.4777521002533416,294.0140271864796,111.63950245048031
3 jammers / 1 eve,Static Random,1.3549628339788038,0.4954050411289034,0.0,-46.286302555843974
3 jammers / 1 eve,TBHP,2.5225648176380044,0.8050579773187581,86.1722516942089,0.0
1 jammer / 3 eves (non-colluding),DQN,9.570852113718527,2.2561619117903615,144.3315366090866,16.72457406921334
1 jammer / 3 eves (non-colluding),DDPG,11.891340894547126,2.7809318518640573,203.5706286739744,45.024882271276965
1 jammer / 3 eves (non-colluding),Static Random,3.917157910331985,0.9971988973062128,0.0,-52.226971724913064
1 jammer / 3 eves (non-colluding),TBHP,8.199517702282098,1.9945992113819322,109.32313401649861,0.0
1 jammer / 3 eves (colluding),DQN,9.68047119146955,2.2742478402335524,244.4034935738858,50.91034757712711
1 jammer / 3 eves (colluding),DDPG,10.182414255314287,2.425960560078364,262.2611929920341,58.73521485171669
1 jammer / 3 eves (colluding),Static Random,2.8107935523577297,0.7759260257113617,0.0,-56.18210895275024
1 jammer / 3 eves (colluding),TBHP,6.414716649249028,1.6376390007753188,128.21728205076752,0.0
"3 jammers / 3 eves (colluding, worst case)",DQN,2.4951589114296895,0.7811158886640396,478.45322331528183,56.67958727083062
"3 jammers / 3 eves (colluding, worst case)",DDPG,4.330292602169297,1.2391891706253741,903.8926587597158,171.91392682923913
"3 jammers / 3 eves (colluding, worst case)",Static Random,0.4313501612333,0.3096307953381544,0.0,-72.9140437021243
"3 jammers / 3 eves (colluding, worst case)",TBHP,1.5925232858296012,0.6629597064296517,269.1950134610636,0.0
